"","Sera 1","Sera 2","Distance"
"229","S_102","S_99",2.05134537594428
"230","S_103","S_99",1.96944766254528
"231","S_104","S_99",2.3547852813279
"232","S_105","S_99",2.75782921473524
"233","S_106","S_99",2.41299909281601
"234","S_107","S_99",1.64416152170189
"235","S_108","S_99",2.60937323280885
"236","S_109","S_99",1.70267688772267
"237","S_110","S_99",2.26766993688503
"238","S_111","S_99",1.12381227279841
"239","S_112","S_99",1.95892012261959
"240","S_113","S_99",1.49932070285136
"241","S_114","S_99",2.78940270689056
"242","S_115","S_99",2.24609700681718
"243","S_116","S_99",3.20878459867321
"244","S_117","S_99",2.53998159002688
"245","S_119","S_99",1.9439136720691
"246","S_120","S_99",1.40201039277432
"247","S_121","S_99",2.34485505300065
"248","S_122","S_99",1.35770853816051
"249","S_123","S_99",1.45202267279972
"250","S_124","S_99",2.78013811108695
"251","S_125","S_99",1.65076225842428
"252","S_126","S_99",2.69323204146051
"253","S_127","S_99",1.61893549142635
"254","S_128","S_99",1.46560445742328
"255","S_129","S_99",1.43258605532503
"256","S_130","S_99",2.56872199218378
"257","S_131","S_99",1.99422871186075
"258","S_132","S_99",1.85236079280704
"259","S_133","S_99",2.409333982764
"260","S_134","S_99",2.87108830408126
"261","S_135","S_99",3.26097441726124
"262","S_136","S_99",2.21930377882138
"263","S_137","S_99",2.24119389193077
"264","S_138","S_99",1.7374627397256
"265","S_93","S_100",2.34791013443311
"266","S_94","S_100",1.83167396188564
"267","S_95","S_100",0.46223428952515
"268","S_97","S_100",0.503647841731577
"269","S_98","S_100",3.0625955255791
"270","S_99","S_100",2.51220521698907
"271","S_100","S_100",0
"272","S_101","S_100",0.118676773937621
"273","S_102","S_100",0.626147808194669
"274","S_103","S_100",2.17993101578879
"275","S_104","S_100",0.265237604213206
"276","S_105","S_100",0.781515518410401
"277","S_106","S_100",1.0606203660419
"278","S_107","S_100",3.04709727356277
"279","S_108","S_100",1.09774347833546
"280","S_109","S_100",1.73749681479283
"281","S_110","S_100",1.89632397121095
"282","S_111","S_100",2.85574291403744
"283","S_112","S_100",2.07375346847108
"284","S_113","S_100",2.64748118990661
"285","S_114","S_100",0.27743465954646
"286","S_115","S_100",0.882351512767952
"287","S_116","S_100",0.697812371829996
"288","S_117","S_100",0.333735297021281
"289","S_119","S_100",0.825580258172274
"290","S_120","S_100",2.7493780890672
"291","S_121","S_100",0.176532951996559
"292","S_122","S_100",3.06766107995636
"293","S_123","S_100",2.51982010684764
"294","S_124","S_100",0.586077026151626
"295","S_125","S_100",3.04733042317366
"296","S_126","S_100",0.18105984777585
"297","S_127","S_100",1.95477734309859
"298","S_128","S_100",2.28819772855351
"299","S_129","S_100",2.93575129148877
"300","S_130","S_100",0.891187656104496
"301","S_131","S_100",1.29631501965017
"302","S_132","S_100",3.09236940649504
"303","S_133","S_100",1.28080590878853
"304","S_134","S_100",0.622473520865264
"305","S_135","S_100",1.14526978921392
"306","S_136","S_100",0.750937442438021
"307","S_137","S_100",2.24796774334967
"308","S_138","S_100",0.80000921469957
"309","S_93","S_101",2.43389887004312
"310","S_94","S_101",1.80041614466147
"311","S_95","S_101",0.424656339645641
"312","S_97","S_101",0.395356964869627
"313","S_98","S_101",3.11799055936774
"314","S_99","S_101",2.61156141512095
"315","S_100","S_101",0.118676773937621
"316","S_101","S_101",0
"317","S_102","S_101",0.673445489095541
"318","S_103","S_101",2.19776631023399
"319","S_104","S_101",0.299857811730961
"320","S_105","S_101",0.704410557320885
"321","S_106","S_101",1.03368375288313
"322","S_107","S_101",3.09628995382426
"323","S_108","S_101",1.0501384421531
"324","S_109","S_101",1.76908854036993
"325","S_110","S_101",1.89200034298026
"326","S_111","S_101",2.92219105358889
"327","S_112","S_101",2.09085543252076
"328","S_113","S_101",2.69504683490621
"329","S_114","S_101",0.195040829853127
"330","S_115","S_101",0.877044863153092
"331","S_116","S_101",0.598031230427105
"332","S_117","S_101",0.283140134627684
"333","S_119","S_101",0.867544273950481
"334","S_120","S_101",2.80275510382195
"335","S_121","S_101",0.266761236152261
"336","S_122","S_101",3.12926042284433
"337","S_123","S_101",2.56770926030372
"338","S_124","S_101",0.493173316739445
"339","S_125","S_101",3.09624682589632
"340","S_126","S_101",0.108038933584406
"341","S_127","S_101",1.99076074908718
"342","S_128","S_101",2.33326672725175
"343","S_129","S_101",2.99136282088567
"344","S_130","S_101",0.843210359737765
"345","S_131","S_101",1.31029220065143
"346","S_132","S_101",3.133637872431
"347","S_133","S_101",1.25655977217812
"348","S_134","S_101",0.518996034198648
"349","S_135","S_101",1.0385021318625
"350","S_136","S_101",0.754567638614613
"351","S_137","S_101",2.2516562136328
"352","S_138","S_101",0.886782291305278
"353","S_93","S_102",1.81148642138905
"354","S_94","S_102",1.37238513171509
"355","S_95","S_102",1.08639152739519
"356","S_97","S_102",1.02447124838075
"357","S_98","S_102",2.44459009932224
"358","S_99","S_102",2.05134537594428
"359","S_100","S_102",0.626147808194669
"360","S_101","S_102",0.673445489095541
"361","S_102","S_102",0
"362","S_103","S_102",1.57128219200456
"363","S_104","S_102",0.373587681444499
"364","S_105","S_102",0.742304740310327
"365","S_106","S_102",0.653483039973428
"366","S_107","S_102",2.42381049373993
"367","S_108","S_102",0.79178381421254
"368","S_109","S_102",1.11511514200266
"369","S_110","S_102",1.33928518112967
"370","S_111","S_102",2.25491498661747
"371","S_112","S_102",1.46683820583725
"372","S_113","S_102",2.02319757754001
"373","S_114","S_102",0.8680701526625
"374","S_115","S_102",0.411426727059084
"375","S_116","S_102",1.23886724386671
"376","S_117","S_102",0.504637821572236
"377","S_119","S_102",0.200558708548213
"378","S_120","S_102",2.12933009798867
"379","S_121","S_102",0.463656367365312
"380","S_122","S_102",2.4578991186051
"381","S_123","S_102",1.89567856350445
"382","S_124","S_102",0.72922920918745
"383","S_125","S_102",2.42387350059383
